metric,label,rate,a_mean,a_sd,a_lo,a_hi,b_mean,b_sd,b_lo,b_hi,delta_pct,t,df,p_raw,g,g_lo,g_hi,shapiro_p_treatment,shapiro_p_reference,p_holm
mean_memory_gb,Mean memory (GB),500.0,8.000460469765583,1.9634119057940876e-05,8.000446424362922,8.000474515168245,8.0005612419575,6.113215660469075e-05,8.000517510647096,8.000604973267905,-0.0012595640339430815,-4.963100171520618,10.83721153355625,0.00044614191945618724,-2.06233142046491,-3.1678561192532007,-0.956806721676619,0.09251617938060537,0.6766252517871939,0.00044614191945618724
mean_memory_gb,Mean memory (GB),1000.0,8.000952427971423,1.7911114893909408e-05,8.00093961513169,8.000965240811157,8.004541262293781,0.0003199908571506714,8.00431235462427,8.004770169963292,-0.044834978105030766,-35.41086747649782,9.056394706668566,5.038662595479406e-11,-14.48752346671943,-19.300603308674127,-9.674443624764734,0.8162715172840502,0.7969274720408603,2.0154650381917624e-10
mean_memory_gb,Mean memory (GB),1500.0,8.001418179291399,5.514757220915946e-05,8.001378729094771,8.001457629488026,8.004795356009556,0.00016924987148158411,8.004674281945157,8.004916430073955,-0.04218941981598022,-59.99496100758006,10.889734192248984,4.467964705397028e-15,-24.93926293929872,-33.13310771077635,-16.745418167821093,0.13690704725503983,0.4200463807427907,2.2339823526985142e-14
mean_memory_gb,Mean memory (GB),2000.0,8.001942202008197,6.141744123551956e-05,8.001898266617461,8.001986137398932,8.00477625470337,0.0005632904376653826,8.004373300998719,8.00517920840802,-0.03540452106337723,-15.816459055659998,9.213958631064788,5.4533782371261675e-08,-6.481520916769465,-8.773084984875137,-4.189956848663795,0.05475248470067006,0.592551900198786,1.6360134711378503e-07
mean_memory_gb,Mean memory (GB),2500.0,8.002412607212925,0.00013959677015772318,8.002312745699342,8.002512468726508,8.004809756328376,0.00017370904644567852,8.004685492362372,8.00493402029438,-0.02994635960655705,-34.015945684241274,17.20325571370578,3.190808419924136e-17,-14.539407888101401,-19.36915419176554,-9.709661584437265,0.6881528454915476,0.5004288977191963,2.2335658939468954e-16
mean_memory_gb,Mean memory (GB),3000.0,8.002881253871479,0.00018121938593060856,8.002751617332258,8.0030108904107,8.0047963727617,0.0005233712468264807,8.004421975525895,8.005170769997504,-0.02392464218999167,-10.934472642653201,11.127472544444503,2.709841466374052e-07,-4.5528770133100185,-6.279231972627257,-2.82652205399278,0.8634247853724204,0.8567021907247041,5.419682932748104e-07
mean_buffer_occupancy_pct,Mean buffer occupancy (%),250.0,0.021601563648407412,0.0006589090183256041,0.02113020853174184,0.022072918765072985,0.07200636132222164,0.0019426807755865835,0.07061665121330933,0.07339607143113396,-70.00047877472593,-77.70075769394374,11.043669694521437,1.774951898395698e-16,-32.3343064138821,-42.93315414666603,-21.735458681098176,0.25334965193865594,0.232720294855442,1.0649711390374187e-15
mean_buffer_occupancy_pct,Mean buffer occupancy (%),500.0,0.0460469765583508,0.0019634119057906365,0.044642436292278445,0.047451516824423154,0.05612419575006752,0.0061132156604840945,0.051751064709652204,0.06049732679048283,-17.95521353498343,-4.963100171504499,10.83721153354109,0.000446141919469314,-2.0623314204579866,-3.1678561192448997,-0.9568067216710736,0.09251617936239441,0.6766252517793091,0.000446141919469314
mean_buffer_occupancy_pct,Mean buffer occupancy (%),1000.0,0.09524279714235087,0.001791111489373391,0.09396151316906422,0.09652408111563753,0.454126229378147,0.031999085715086424,0.4312354624271127,0.4770169963291813,-79.02724155070923,-35.410867476481485,9.05639470666739,5.038662595512275e-11,-14.487523466712567,-19.30060330866506,-9.674443624760075,0.8162715173165551,0.7969274720494188,2.01546503820491e-10
mean_buffer_occupancy_pct,Mean buffer occupancy (%),1500.0,0.1418179291399237,0.005514757220917514,0.13787290947718875,0.14576294880265864,0.4795356009555635,0.016924987148146244,0.46742819451567236,0.4916430073954547,-70.42598529549731,-59.994961007607436,10.889734192252693,4.467964705334336e-15,-24.939262939310765,-33.13310771079231,-16.74541816782922,0.13690704724344577,0.4200463807320117,2.233982352667168e-14
