scheduler,rate,metric,rho,p,p_holm
adaptive_batch,500.0,p95_latency_ms,0.2121212121212121,0.5563057751029299,1.0
adaptive_batch,500.0,p99_latency_ms,0.05454545454545454,0.8810361811618526,1.0
adaptive_batch,500.0,coeff_variation,-0.10303030303030303,0.7769984634438898,1.0
adaptive_batch,500.0,mean_cpu_pct,0.2121212121212121,0.5563057751029299,1.0
adaptive_batch,500.0,peak_cpu_pct,0.01818181818181818,0.9602404181286242,1.0
adaptive_batch,500.0,mean_memory_gb,0.5030303030303029,0.13833369839449194,1.0
adaptive_batch,500.0,mean_buffer_occupancy_pct,0.5030303030303029,0.13833369839449194,1.0
adaptive_batch,500.0,mean_batch_size,-0.12727272727272726,0.7260570147627894,1.0
adaptive_batch,1000.0,mean_throughput_proofs_s,-0.2121212121212121,0.5563057751029299,1.0
adaptive_batch,1000.0,mean_latency_ms,0.2121212121212121,0.5563057751029299,1.0
adaptive_batch,1000.0,median_latency_ms,0.13939393939393938,0.7009318849100584,1.0
adaptive_batch,1000.0,p95_latency_ms,0.01818181818181818,0.9602404181286242,1.0
adaptive_batch,1000.0,p99_latency_ms,-0.01818181818181818,0.9602404181286242,1.0
adaptive_batch,1000.0,coeff_variation,0.09090909090909088,0.8027717312071619,1.0
adaptive_batch,1000.0,mean_cpu_pct,0.24848484848484845,0.4887763045192432,1.0
adaptive_batch,1000.0,peak_cpu_pct,0.7659609850368815,0.009787039903408316,1.0
adaptive_batch,1000.0,mean_memory_gb,-0.01818181818181818,0.9602404181286242,1.0
adaptive_batch,1000.0,mean_buffer_occupancy_pct,-0.01818181818181818,0.9602404181286242,1.0
adaptive_batch,1000.0,mean_batch_size,-0.06666666666666665,0.8548130882487427,1.0
adaptive_batch,1500.0,mean_throughput_proofs_s,-0.06666666666666665,0.8548130882487427,1.0
adaptive_batch,1500.0,mean_latency_ms,-0.09090909090909088,0.8027717312071619,1.0
adaptive_batch,1500.0,median_latency_ms,-0.24848484848484845,0.4887763045192432,1.0
adaptive_batch,1500.0,p95_latency_ms,-0.18787878787878787,0.6032176100292089,1.0
adaptive_batch,1500.0,p99_latency_ms,-0.1515151515151515,0.6760651759978539,1.0
adaptive_batch,1500.0,coeff_variation,0.06666666666666665,0.8548130882487427,1.0
adaptive_batch,1500.0,mean_cpu_pct,0.28484848484848485,0.4250381548921454,1.0
adaptive_batch,1500.0,peak_cpu_pct,0.16363636363636364,0.6514773427962428,1.0
adaptive_batch,1500.0,mean_memory_gb,-0.16363636363636364,0.6514773427962428,1.0
adaptive_batch,1500.0,mean_buffer_occupancy_pct,-0.16363636363636364,0.6514773427962428,1.0
adaptive_batch,1500.0,mean_batch_size,0.19999999999999998,0.5795840000000002,1.0
adaptive_batch,2000.0,mean_throughput_proofs_s,-0.16363636363636364,0.6514773427962428,1.0
adaptive_batch,2000.0,mean_latency_ms,-0.0303030303030303,0.9337729580941466,1.0
adaptive_batch,2000.0,median_latency_ms,0.01818181818181818,0.9602404181286242,1.0
adaptive_batch,2000.0,p95_latency_ms,-0.10303030303030303,0.7769984634438898,1.0
adaptive_batch,2000.0,p99_latency_ms,-0.10303030303030303,0.7769984634438898,1.0
adaptive_batch,2000.0,coeff_variation,0.04242424242424241,0.9073638178128159,1.0
adaptive_batch,2000.0,mean_cpu_pct,0.16363636363636364,0.6514773427962428,1.0
adaptive_batch,2000.0,peak_cpu_pct,0.16413449679361747,0.6504731396988412,1.0
adaptive_batch,2000.0,mean_memory_gb,-0.2121212121212121,0.5563057751029299,1.0
adaptive_batch,2000.0,mean_buffer_occupancy_pct,-0.2121212121212121,0.5563057751029299,1.0
adaptive_batch,2000.0,mean_batch_size,0.06666666666666665,0.8548130882487427,1.0
adaptive_batch,2500.0,mean_throughput_proofs_s,-0.06666666666666665,0.8548130882487427,1.0
adaptive_batch,2500.0,mean_latency_ms,-0.04242424242424241,0.9073638178128159,1.0
adaptive_batch,2500.0,median_latency_ms,0.13939393939393938,0.7009318849100584,1.0
adaptive_batch,2500.0,p95_latency_ms,-0.07878787878787878,0.8287173946974606,1.0
adaptive_batch,2500.0,p99_latency_ms,-0.07878787878787878,0.8287173946974606,1.0
adaptive_batch,2500.0,coeff_variation,-0.06666666666666665,0.8548130882487427,1.0
adaptive_batch,2500.0,mean_cpu_pct,0.18787878787878787,0.6032176100292089,1.0
adaptive_batch,2500.0,peak_cpu_pct,0.28311042925246527,0.4279925064128654,1.0
adaptive_batch,2500.0,mean_memory_gb,-0.13939393939393938,0.7009318849100584,1.0
adaptive_batch,2500.0,mean_buffer_occupancy_pct,-0.13939393939393938,0.7009318849100584,1.0
adaptive_batch,2500.0,mean_batch_size,-0.22424242424242422,0.5334005612725947,1.0
adaptive_batch,3000.0,mean_throughput_proofs_s,0.09090909090909088,0.8027717312071619,1.0
adaptive_batch,3000.0,mean_latency_ms,-0.09090909090909088,0.8027717312071619,1.0
adaptive_batch,3000.0,median_latency_ms,0.07878787878787878,0.8287173946974606,1.0
adaptive_batch,3000.0,p95_latency_ms,-0.1515151515151515,0.6760651759978539,1.0
adaptive_batch,3000.0,p99_latency_ms,0.01818181818181818,0.9602404181286242,1.0
