scheduler,arrival_rate_txs,workload,trial_id,window_ms_setting,l_target_ms,offered,admitted,dropped,verified,verified_recorded,drop_fraction,served_rate_proofs_s,served_fraction,mean_throughput_proofs_s,std_throughput,mean_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,std_latency_ms,coeff_variation,mean_cpu_pct,peak_cpu_pct,mean_memory_gb,mean_buffer_occupancy_pct,max_buffer_occupancy_pct,mean_batch_size,final_tx_queue,final_buffer,idc,sim_seconds
fixed,2500,poisson,1,100.0,150.0,20000,20000,0,20000,18817,0.0,2371.0109949086095,0.9484043979634438,2528.5714285714284,95.11897312113419,393.68248717622976,346.2298819485445,818.0592305369584,859.7930171703895,196.50611853107912,0.4991487427865042,55.90423583984375,66.5771484375,8.00432,0.432,0.97,98.03921568627452,0,0,1.1492645569620252,7.936276989185915
adaptive_batch,2500,poisson,1,500.0,150.0,20000,20000,2916,17084,15788,0.1458,315.1245924882616,0.12604983699530464,315.38,384.1678465016487,16163.726507544818,13803.331520144533,41113.998679590906,42784.02770874411,14488.810103050666,0.8963780781794134,32.77607344061255,84.47265625,8.497737649402392,49.77376494023904,100.0,1.4596719070403281,0,0,1.1492645569620252,50.10081845829948
adaptive,3000,poisson,1,100.0,150.0,20000,20000,0,20000,18875,0.0,2819.268191302382,0.9397560637674607,3053.1666666666665,125.44068983653855,372.4869665408069,325.83571716693615,797.5370448349311,832.8033222026257,195.44584147248403,0.5247051817343854,68.6953416511194,81.4208984375,8.0033,0.33,0.84,61.162079510703364,0,0,1.2220484848484847,6.694999808188008
fixed,3000,poisson,1,100.0,150.0,20000,20000,0,20000,18910,0.0,2807.7873266211586,0.9359291088737195,3050.0,83.66600265340756,391.1479816705588,344.04589598548887,816.6329767178265,855.6673438017738,196.5336690547936,0.5024534914264813,65.57114545036765,79.541015625,8.005667647058823,0.566764705882353,0.9900000000000001,98.03921568627452,0,0,1.2220484848484847,6.734840570263546
adaptive_batch,3000,poisson,1,500.0,150.0,20000,20000,2387,17613,16371,0.11935,334.06072238102905,0.11135357412700968,334.0816326530612,474.1843803106681,15168.945815902634,11884.72615179325,40736.95524544065,42795.13025283654,14458.031135833162,0.9531335474002305,32.992796111252545,94.43359375,8.494462525458248,49.44625254582485,100.0,1.5400017487103261,0,0,1.2220484848484847,49.00606058477975
adaptive,3250,poisson,1,100.0,150.0,20000,20000,0,20000,18873,0.0,3018.358000739311,0.9287255386890189,3131.0,304.47134512134306,374.9660516332162,328.70688924142667,798.1738888750681,834.334830418438,195.28609953293952,0.5208100804922048,73.41231088789682,87.5,8.003488888888887,0.33888888888888885,0.9299999999999999,65.78947368421052,0,1,1.1283223140495868,6.2527374139771625
fixed,3250,poisson,1,100.0,150.0,20000,20000,0,20000,18904,0.0,2985.147246128548,0.9185068449626301,3139.8333333333335,298.39598969601894,390.2675642868244,343.0932777219645,816.2730336739983,853.1388324382204,196.58545408842724,0.503719683821708,70.75157165527344,84.375,8.0047046875,0.460625,0.9900000000000001,98.03921568627452,0,0,1.1283223140495868,6.332685941879983
adaptive_batch,3250,poisson,1,500.0,150.0,20000,20000,2120,17880,16746,0.106,344.52491716675036,0.10600766682053857,345.9791666666667,516.6289869868275,14668.136889324227,10803.273501681564,40477.36255654235,42816.225581118095,14423.10603642337,0.983295025486216,33.097999149768995,100.0,8.492723203285422,49.271026694045176,100.0,1.5782505075470032,0,0,1.1283223140495868,48.6060634966931
adaptive,3500,poisson,1,100.0,150.0,20000,20000,0,20000,18871,0.0,3114.4609512820653,0.8898459860805901,3145.1666666666665,658.7070416100519,447.5523402569426,404.1250171779709,851.4216489523801,938.8706681252099,198.24587381336477,0.4429557304952323,74.68461834016394,84.375,8.026234426229509,0.38016393442622953,0.9400000000000001,68.4931506849315,0,0,1.1733964601769908,6.0591544717334695
fixed,3500,poisson,1,100.0,150.0,20000,20000,0,20000,18899,0.0,3129.004270715324,0.8940012202043782,3149.8333333333335,622.4951137693104,461.7688995607515,416.45603372022765,871.9499487910048,963.4038213561627,201.23343444936836,0.43578819327327517,73.4038806352459,84.375,8.02750819672131,0.5075409836065575,0.9900000000000001,98.52216748768473,0,0,1.1733964601769908,6.0399406216468625
adaptive_batch,3500,poisson,1,500.0,150.0,20000,20000,1910,18090,16956,0.0955,350.6683582231941,0.10019095949234118,351.6041666666667,547.7747533501353,14481.987317390405,10307.9989810342,40530.00136211665,42938.45875344124,14442.751631416673,0.9972907250148868,33.17951801394628,100.0,8.496098347107436,49.32710743801652,100.0,1.6040078028019151,0,2,1.1733964601769908,48.35337891880114
adaptive,4000,poisson,1,100.0,150.0,20000,20000,0,20000,19067,0.0,3147.524580065191,0.7868811450162978,3177.8333333333335,615.7835388078075,760.2242580130116,748.6903558354836,1285.841289435678,1501.0516008874647,301.67416296326087,0.39682259515336005,75.76564100922131,87.5,8.123709836065574,0.3395081967213115,0.84,68.4931506849315,0,0,1.2233551020408162,6.057776362021321
fixed,4000,poisson,1,100.0,150.0,20000,20000,0,20000,19090,0.0,3160.627098150988,0.790156774537747,3181.6666666666665,634.6783962501534,773.8081111581162,764.1293626892104,1308.477961106099,1538.0712593664314,307.56029330216523,0.39746325848388514,74.33121477971312,87.5,8.125547540983606,0.5232786885245901,0.98,98.52216748768473,0,0,1.2233551020408162,6.039940621646863
adaptive_batch,4000,poisson,1,500.0,150.0,20000,20000,1716,18284,17312,0.0858,357.96839351728926,0.08949209837932232,358.8333333333333,566.5411792636246,14439.545446391281,9854.652896791387,40980.37213435829,43531.40709409419,14583.086535384564,1.0099408315536107,33.238283267691116,100.0,8.507062809917356,49.189917355371904,100.0,1.6233685518955874,0,7,1.2233551020408162,48.36181158313313
adaptive,5000,poisson,1,100.0,150.0,20000,20000,0,20000,19157,0.0,3166.173845254211,0.6332347690508422,3191.0,548.4596612331667,1230.4182222003813,1210.1363334062798,2105.747155032648,2368.0615953748547,542.8419890652158,0.44118493961706834,75.6988025102459,87.5,8.271888524590162,0.3611475409836066,0.96,68.72852233676976,0,5,1.3871012820512822,6.050520576662111
fixed,5000,poisson,1,100.0,150.0,20000,20000,0,20000,19177,0.0,3123.851919145592,0.6247703838291184,3196.1666666666665,549.7346329518149,1242.9959828657466,1230.3559710806608,2126.250418674875,2419.2066195469965,549.6624867747996,0.4422077740810909,73.36898311491935,84.375,8.26843387096774,0.44838709677419364,0.9900000000000001,98.52216748768473,0,0,1.3871012820512822,6.138895343427521
adaptive_batch,5000,poisson,1,500.0,150.0,20000,20000,1551,18449,17693,0.07755,365.28846070481666,0.07305769214096333,366.5208333333333,590.3438590323127,14547.778604677198,9546.782893341848,41633.15198289693,44410.18113311993,14797.762137543636,1.0171836223013502,33.18711742912372,100.0,8.52367855670103,48.993649484536085,100.0,1.6391825855175477,0,0,1.3871012820512822,48.43569371411765
adaptive,7500,poisson,1,100.0,150.0,20000,19624,376,19624,19364,0.0188,3168.1196157708264,0.4224159487694435,3223.1666666666665,501.21030183613215,1803.0778726069998,1792.3362104776486,3222.075103572197,3500.0462620187377,904.7593283708233,0.501786052680391,75.70918913810483,90.625,8.449822580645161,0.3569354838709677,0.95,69.09859154929578,0,0,0.9596153846153848,6.1121429581151085
fixed,7500,poisson,1,100.0,150.0,20000,19624,376,19624,19389,0.0188,3150.577056585674,0.4200769408780899,3227.6666666666665,477.02480718162514,1814.2346322397877,1810.7056317200404,3243.9295465776363,3571.265708106283,912.586407445151,0.5030145446614616,74.70112462197581,87.5,8.450685483870968,0.4432258064516129,0.97,98.61306532663316,0,0,0.9596153846153848,6.154110707900647
adaptive_batch,7500,poisson,1,500.0,150.0,20000,19624,1427,18573,18357,0.07135,378.5816127505718,0.05047754836674291,380.1666666666667,629.0159938883716,14545.612760488726,8685.682206005127,42495.96642895725,45524.0939650669,15053.386154412983,1.0349090411167523,33.280092219716494,100.0,8.543862474226806,48.68156701030927,100.0,1.6553475935828876,0,7,0.9596153846153848,48.48888425042051
adaptive,10000,poisson,1,100.0,150.0,20000,17434,2566,17434,17190,0.1283,3150.2494035097243,0.31502494035097245,3397.0,136.99817517032847,1891.305749611208,1890.07681578982,3330.187019464605,3614.7270530888795,949.2935363616529,0.5019249460626857,74.98224431818183,87.5,8.476958181818182,0.34018181818181814,0.97,67.57364341085271,0,1,1.1444315789473685,5.456710818149334
fixed,10000,poisson,1,100.0,150.0,20000,17434,2566,17434,17190,0.1283,3112.6106750994995,0.31126106750995,3400.0,141.4213562373095,1904.9641556610286,1907.6366358295058,3350.8095567490805,3658.0904171975008,955.4906595930694,0.5015793377285417,72.47140066964286,84.375,8.470041071428572,0.49410714285714286,0.97,98.49717514124293,0,0,1.1444315789473685,5.522695188806578
adaptive_batch,10000,poisson,1,500.0,150.0,20000,17434,2566,17434,17218,0.1283,397.0406039192076,0.039704060391920766,398.6046511627907,670.8013381143086,12741.804680520594,6372.168650043912,38171.20488330973,41075.259035230876,13488.484092835683,1.0586007579802723,33.05506552419355,100.0,8.491748847926267,43.17359447004608,89.60000000000001,1.7392258579409416,0,5,1.1444315789473685,43.365841755327445
adaptive,250,poisson,2,100.0,150.0,20000,20000,0,20000,18093,0.0,247.2144375285315,0.988857750114126,247.78082191780823,18.89976967477416,345.6004823320486,300.9646973487463,772.7698629989071,810.0459149747342,192.33270931493982,0.5565174794233908,10.559248793971994,15.8935546875,8.00022363387978,0.022363387978142076,0.13,5.829204313611192,0,0,1.0204352647975077,73.18747311395133
fixed,250,poisson,2,100.0,150.0,20000,20000,0,20000,18100,0.0,247.0998682139641,0.9883994728558564,247.8904109589041,22.069688642416587,391.2209804215469,348.47890669908566,806.7161782113257,874.3603725886958,194.67122900765827,0.4975991543140066,7.8674899279502055,10.44921875,8.000457435197816,0.045743519781718964,0.33999999999999997,25.094102885821833,0,0,1.0204352647975077,73.24973554549688
adaptive_batch,250,poisson,2,500.0,150.0,20000,20000,0,20000,18156,0.0,235.80897363624217,0.9432358945449687,235.89473684210526,5.961160843031433,2627.9137092706324,2499.8898400828507,4333.448965895549,4635.9594036611325,1106.1502557514889,0.4209233552263391,30.11525339894481,32.32421875,8.05412064935065,5.412064935064935,10.01,1.0327377878756583,0,14,1.0204352647975077,76.9945253568143
adaptive,500,poisson,2,100.0,150.0,20000,20000,0,20000,18159,0.0,491.81058569849756,0.9836211713969951,497.3888888888889,27.307014041689285,347.383420977292,303.2336821450929,774.9416437330743,813.0659760790292,192.73757650925023,0.5548266407389926,16.15280563766892,22.4853515625,8.000434594594594,0.04345945945945946,0.19,11.001100110011,0,0,1.0131614713216959,36.92275141701057
fixed,500,poisson,2,100.0,150.0,20000,20000,0,20000,18208,0.0,492.74432862224535,0.9854886572444908,499.19444444444446,31.133646883299235,400.4817004200182,357.3740986699292,818.8467937780327,882.9958619203458,195.11321873639972,0.4871963401368112,13.238954286317567,15.7958984375,8.000963783783783,0.09637837837837838,0.64,49.382716049382715,0,0,1.0131614713216959,36.95222642320633
adaptive_batch,500,poisson,2,500.0,150.0,20000,20000,0,20000,18363,0.0,236.22568113972378,0.47245136227944756,236.19480519480518,6.567541719537637,21167.827099804657,21049.334317364694,39413.52471804093,41172.140893473785,11776.54059162372,0.5563414958039031,30.075081087323262,38.330078125,8.491710539845759,49.171053984575835,97.13000000000001,1.0688328345446771,0,1,1.0131614713216959,77.73498593126534
adaptive,1000,poisson,2,100.0,150.0,20000,20000,0,20000,18347,0.0,968.1921189279601,0.9681921189279601,996.8888888888889,31.09168394374155,350.7896596938133,305.8701946962543,778.4281309980105,815.109350695366,192.983666493896,0.5501406930362251,26.888106496710527,35.2783203125,8.000893684210526,0.08936842105263158,0.29,21.299254526091588,0,0,1.0579265,18.949751440153108
fixed,1000,poisson,2,100.0,150.0,20000,20000,0,20000,18418,0.0,973.7238672728612,0.9737238672728612,997.3333333333334,62.447154129099665,414.55444083754946,372.3129314106983,832.146101242288,896.2531211563843,194.99354287939633,0.4703689640507506,23.171001233552634,27.3681640625,8.004312631578946,0.43126315789473685,0.9900000000000001,93.02325581395348,0,0,1.0579265,18.91501340270509
adaptive_batch,1000,poisson,2,500.0,150.0,20000,20000,3102,16898,15235,0.1551,250.18404304551967,0.25018404304551967,250.26666666666668,96.09209330366483,21422.60425235576,21450.607771297335,42520.25360774562,42894.288981721395,13820.598870435133,0.6451409318694452,31.408029941502463,49.5361328125,8.527565681444992,52.756568144499184,100.0,1.1742061010353693,0,14,1.0579265,60.895170669330305
adaptive,1500,poisson,2,100.0,150.0,20000,20000,0,20000,18459,0.0,1445.7897412241275,0.9638598274827517,1497.75,52.068355422114465,354.50567868555675,310.1494496840935,782.2450133845607,819.0094749841525,193.20203684417896,0.5449899633781251,37.99552917480469,45.41015625,8.00146953125,0.146953125,0.44,31.545741324921135,0,0,0.9999781954887216,12.767416639968031
fixed,1500,poisson,2,100.0,150.0,20000,20000,0,20000,18492,0.0,1427.2111821025576,0.9514741214017051,1500.0,60.30226891555272,401.80971748078844,359.0131326975201,822.5403249874474,875.2902618857295,194.11376188605922,0.48309872419982053,33.80521334134615,41.9189453125,8.004757692307692,0.47576923076923083,0.9900000000000001,97.0873786407767,0,0,0.9999781954887216,12.956737049073364
adaptive_batch,1500,poisson,2,500.0,150.0,20000,20000,3543,16457,14891,0.17715,270.39179149828664,0.1802611943321911,270.45454545454544,190.25721558145457,19416.238648211933,18956.902084652404,42519.72181421441,42973.60447550922,14335.933624098107,0.7383476214852933,32.023008592332125,61.62109375,8.515673139745918,51.567313974591656,100.0,1.2755386761742367,0,9,0.9999781954887216,55.07193808468242
